Altium Designer Pick and Place Locations
C:\Users\blinkinlabs\Desktop\compute_fpga\pcb\Project Outputs for compute_fpga\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       05/01/21
Time:       23:02
Revision:   ec2147ffef304f88b545b39512a31c8649727b1b
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"P2","HDR2X30","100.3300","85.0900","63.5000","83.8200","63.5000","83.8200","TopLayer","360","Header 30X2"
"R5","ERJ2G(0402)_N","9.5000","83.5000","9.5000","83.5000","9.0500","83.5000","TopLayer","360","5.1k"
"J3","TYPE-C-31-M-12","4.5500","82.0000","2.0000","82.0000","7.0920","78.7750","TopLayer","270","TYPE-C-31-M-12"
"J7","1757242","26.9250","80.7000","26.9250","80.7000","29.4650","80.7000","TopLayer","90","1757242"
"R6","ERJ2G(0402)_N","9.5000","80.5000","9.5000","80.5000","9.0500","80.5000","TopLayer","360","5.1k"
"J6","HDR1X6","37.5000","80.2300","37.5000","86.5800","37.5000","86.5800","TopLayer","270","FTDI"
"J4","TFP09-2-12B","49.5750","78.2000","49.5750","83.4500","47.3750","72.9500","TopLayer","180","TFP09-2-12B"
"U3","NXP-SOT353-1_L","30.5000","75.5000","30.5000","75.5000","31.1500","76.4500","TopLayer","270","74LVC1G17GW"
"R28","ERJ2G(0402)_L","117.7500","74.9250","117.7500","74.9250","117.3500","74.9250","TopLayer","360","4.7k"
"R10","ERJ2G(0402)_L","28.0000","74.5000","28.0000","74.5000","28.4000","74.5000","TopLayer","180","1k"
"D2","BL-Hxx37A-AV-TRB","26.0000","74.5000","26.0000","74.5000","25.4750","74.5000","TopLayer","360","BL-HUB37A-AV-TRB"
"P7","HDR2X4","126.4800","74.2300","122.6700","72.9600","122.6700","72.9600","TopLayer","360","Header 4X2"
"U14","FP-002-15548-MFG","111.8500","74.1750","111.8500","74.1750","115.5000","72.2700","TopLayer","180","S25FL064LABMFI013"
"R30","ERJ2G(0402)_L","106.0000","73.5000","106.0000","73.5000","106.4000","73.5000","TopLayer","180","4.7k"
"R9","ERJ2G(0402)_L","28.0000","73.0000","28.0000","73.0000","28.4000","73.0000","TopLayer","180","1k"
"D1","BL-Hxx37A-AV-TRB","26.0000","73.0000","26.0000","73.0000","25.4750","73.0000","TopLayer","360","BL-HGE37A-AV-TRB"
"R29","ERJ2G(0402)_L","117.7500","72.4250","117.7500","72.4250","117.3500","72.4250","TopLayer","360","4.7k"
"C82","CAPC1005X06L","106.0000","72.2500","106.0000","72.2500","105.6100","72.2500","TopLayer","360","0.10uF"
"P6","HDR2X3","71.7700","72.0000","70.5000","74.5400","70.5000","74.5400","TopLayer","270","Header 3X2"
"C46","CAPC1608X09L","51.7750","70.9250","51.7750","70.9250","51.1250","70.9250","TopLayer","0","47uF"
"R1","ERJ2G(0402)_L","13.8741","70.2575","13.8741","70.2575","13.8741","70.6575","TopLayer","270","20k"
"U11","SOT95P280X145-6N-5","16.5154","68.9301","16.5154","68.9301","17.8404","67.9801","TopLayer","180","AP22653W6-7"
"U6","FP-DCK0006A-MFG","57.3750","68.7500","57.3750","68.7500","56.7250","67.6500","TopLayer","90","TPS22919DCKR"
"R32","ERJ2G(0402)_L","77.7500","68.5000","77.7500","68.5000","77.7500","68.9000","TopLayer","270","330"
"R31","ERJ2G(0402)_L","78.7500","68.5000","78.7500","68.5000","78.7500","68.1000","TopLayer","90","330"
"R16","ERJ2G(0402)_L","79.7500","68.5000","79.7500","68.5000","79.7500","68.1000","TopLayer","90","330"
